0 Ensemble_score =  1.803 z-score -2.626 Chi = 1.803 c1 = 1.045 c2 = 0.491
 875 Int350_7_B10880001_MSE.pdb.dat    (0.290) [ 0.944, 0.298, 0.028 ] 
1403 Int300_8_B10790001_MSE.pdb.dat    (0.135) [ 0.989, 0.124, 0.054 ] 
1680 Int300_7_B10120001_MSE.pdb.dat    (0.050) [ 0.033, 0.063, 0.010 ] 
34 Ensemble_score =  1.877 z-score -0.564 Chi = 1.877 c1 = 1.045 c2 = 0.549
 488 Int300_9_B10970001_MSE.pdb.dat    (0.265) [ 0.411, 0.239, 0.030 ] 
 769 Int325_5_B10890001_MSE.pdb.dat    (0.299) [ 0.989, 0.304, 0.028 ] 
 875 Int350_7_B10880001_MSE.pdb.dat    (0.304) [ 0.944, 0.298, 0.028 ] 
1403 Int300_8_B10790001_MSE.pdb.dat    (0.072) [ 0.989, 0.124, 0.054 ] 
2168 Int300_1_B10760001_MSE.pdb.dat    (0.061) [ 0.002, 0.061, 1.000 ] 
35 Ensemble_score =  1.881 z-score -0.465 Chi = 1.881 c1 = 1.045 c2 = 0.549
 488 Int300_9_B10970001_MSE.pdb.dat    (0.263) [ 0.411, 0.239, 0.030 ] 
 769 Int325_5_B10890001_MSE.pdb.dat    (0.302) [ 0.989, 0.304, 0.028 ] 
 875 Int350_7_B10880001_MSE.pdb.dat    (0.301) [ 0.944, 0.298, 0.028 ] 
1403 Int300_8_B10790001_MSE.pdb.dat    (0.068) [ 0.989, 0.124, 0.054 ] 
1903 Basic300_9_B10690001_MSE.pdb.dat    (0.067) [ 0.022, 0.073, 0.006 ] 
36 Ensemble_score =  1.883 z-score -0.413 Chi = 1.883 c1 = 1.045 c2 = 0.580
 769 Int325_5_B10890001_MSE.pdb.dat    (0.255) [ 0.989, 0.304, 0.028 ] 
 784 Int350_0_B10570001_MSE.pdb.dat    (0.110) [ 0.322, 0.207, 0.051 ] 
 875 Int350_7_B10880001_MSE.pdb.dat    (0.362) [ 0.944, 0.298, 0.028 ] 
1403 Int300_8_B10790001_MSE.pdb.dat    (0.131) [ 0.989, 0.124, 0.054 ] 
1871 Basic320_1_B10210001_MSE.pdb.dat    (0.142) [ 0.022, 0.139, 0.002 ] 
37 Ensemble_score =  1.883 z-score -0.396 Chi = 1.883 c1 = 1.044 c2 = 0.520
 488 Int300_9_B10970001_MSE.pdb.dat    (0.271) [ 0.411, 0.239, 0.030 ] 
 769 Int325_5_B10890001_MSE.pdb.dat    (0.292) [ 0.989, 0.304, 0.028 ] 
 875 Int350_7_B10880001_MSE.pdb.dat    (0.315) [ 0.944, 0.298, 0.028 ] 
1403 Int300_8_B10790001_MSE.pdb.dat    (0.056) [ 0.989, 0.124, 0.054 ] 
2395 Basic320_1_B10390001_MSE.pdb.dat    (0.066) [ 0.002, 0.066, 1.000 ] 
38 Ensemble_score =  1.889 z-score -0.246 Chi = 1.889 c1 = 1.045 c2 = 0.458
 621 Int300_9_B10900001_MSE.pdb.dat    (0.110) [ 0.256, 0.132, 0.055 ] 
 769 Int325_5_B10890001_MSE.pdb.dat    (0.222) [ 0.989, 0.304, 0.028 ] 
